pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,pl_insol,st_teff,st_met,st_rad,sy_pnum,pl_dens_calc,mass_radius_ratio,hz_flag,log_rade,log_dens,log_period,log_smax,log_eqt,cluster,umap_x,umap_y,pl_bmasse_imputed,pl_rade_imputed,pl_eqt_imputed,pl_insol_imputed,cluster_name,method_group
Kepler-32 e,Kepler-32,Transit,2012.0,1.5,4.08181,2.896,0.033,652.0,56.649,3900.0,0.0,0.53,5,6.66393277037037,2.7212066666666668,0,0.17609125905568124,0.8237306070055066,0.4617985575251093,-1.4814860601221125,2.81424759573192,1.0,0.09663895,11.412847,0,0,0,0,Super-Earths (multi),Transit
Kepler-32 f,Kepler-32,Transit,2012.0,0.82,969.228,0.74296,0.013,1026.0,349.645,3900.0,0.0,0.53,5,9685.811073547977,1181.9853658536585,0,-0.08618614761628333,3.9861359936682117,-0.1290345674600233,-1.8860566476931633,3.0111473607757975,1.0,2.173253,11.664548,0,0,0,0,Super-Earths (multi),Transit
Kepler-320 b,Kepler-320,Transit,2014.0,1.14,1.55,8.371554,0.085,1292.0,280.559,6435.0,-0.1228,1.108,2,5.764594234123321,1.3596491228070178,0,0.05690485133647255,0.7607687430126588,0.9228060829611472,-1.0705810742857071,3.1112625136590655,5.0,5.1031055,10.511731,0,0,0,0,Earth-sized Rocky,Transit
Kepler-320 c,Kepler-320,Transit,2014.0,1.37,2.45,17.934937,0.142,1002.0,101.619,6435.0,-0.1228,1.108,2,5.249959846042141,1.7883211678832116,0,0.1367205671564068,0.7201559817470972,1.2536998554697265,-0.8477116556169436,3.000867721531227,3.0,5.1898293,10.255576,0,0,0,0,Mini-Neptunes,Transit
Kepler-321 b,Kepler-321,Transit,2014.0,1.77,3.78,4.915379,0.057,1042.0,296.155,5740.0,0.121,1.194,2,3.755982841478437,2.135593220338983,0,0.24797326636180664,0.5747235996035904,0.6915570097089141,-1.2441251443275085,3.0178677189635055,3.0,6.990005,11.4423485,0,0,0,0,Mini-Neptunes,Transit
Kepler-321 c,Kepler-321,Transit,2014.0,2.32,5.99,13.093921,0.11,752.0,80.103,5740.0,0.121,1.194,2,2.643105306183116,2.5818965517241383,0,0.3654879848908996,0.4221144665683975,1.1170697163501775,-0.958607314841775,2.876217840591642,3.0,7.345286,10.54372,0,0,0,0,Mini-Neptunes,Transit
Kepler-322 b,Kepler-322,Transit,2014.0,1.01,1.01,1.653888,0.027,1373.0,735.179,5388.0,0.12,0.89,2,5.401431232232134,1.0,0,0.004321373782642578,0.7325088512864999,0.21850609613013092,-1.5686362358410126,3.137670537236755,5.0,6.6482925,11.826789,0,0,0,0,Earth-sized Rocky,Transit
Kepler-322 c,Kepler-322,Transit,2014.0,1.67,3.43,4.337234,0.051,996.0,203.406,5388.0,0.12,0.89,2,4.0578529555683005,2.0538922155688626,0,0.22271647114758328,0.6082963054518058,0.637212853591536,-1.2924298239020637,2.998259338423699,3.0,6.996922,11.495779,0,0,0,0,Mini-Neptunes,Transit
Kepler-323 b,Kepler-323,Transit,2014.0,1.381,3.9,1.678328,0.02778,1838.0,1900.0,6004.0,-0.14,1.12,2,8.158966879196583,2.8240405503258508,0,0.1401936785786313,0.9116351701423904,0.2248768400860119,-1.5562677585984033,3.2643455070500926,1.0,5.3540483,11.274014,0,0,0,0,Super-Earths (multi),Transit
Kepler-323 c,Kepler-323,Transit,2014.0,1.57,6.8,3.5538229,0.0458,1431.0,700.0,6004.0,-0.14,1.12,2,9.681921438137952,4.3312101910828025,0,0.19589965240923374,0.9859615543303201,0.5506957815252324,-1.3391345219961308,3.1556396337597765,1.0,5.1634808,10.850443,0,0,0,0,Super-Earths (multi),Transit
Kepler-324 b,Kepler-324,Transit,2014.0,1.14,2414.4,4.385315,0.05,935.0,194.34,5194.0,0.18,0.84,4,8979.378270236999,2117.8947368421054,0,0.05690485133647255,3.953246267273882,0.642000794474777,-1.3010299956639813,2.9708116108725178,1.0,2.1860583,11.678945,0,0,0,0,Super-Earths (multi),Transit
Kepler-324 c,Kepler-324,Transit,2014.0,3.15,6.2,51.805612,0.26,410.0,7.233,5194.0,0.18,0.84,4,1.092978520038233,1.9682539682539684,0,0.49831055378960054,0.03861162698123744,1.714376808560211,-0.585026652029182,2.6127838567197355,1.0,0.83690614,13.068739,0,0,0,0,Super-Earths (multi),Transit
Kepler-324 e,Kepler-324,Transit,2021.0,2.03862444,235.014,13.97939968,0.10972,635.0,38.9,5191.0,0.08,0.826,4,152.83881221222663,115.28067425700047,0,0.3093372264361286,2.1842336539072367,1.1454885218201578,-0.9597142010675082,2.8027737252919755,1.0,2.0689793,11.800326,0,0,0,0,Super-Earths (multi),Transit
